====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
 in 1e-09 sec | s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s 
              | _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              | c   r   d   r   i   i   i   i   i   i   i   i   w   a   a   a   a   a   a   a   a   d 
              | l   s   r   e   n   n   n   n   n   n   n   n   r   d   d   d   d   d   d   d   d   a 
              | k   t   a   a   p   p   p   p   p   p   p   p   i   d   d   d   d   d   d   d   d   t 
              |         w   d   u   u   u   u   u   u   u   u   t   r   r   r   r   r   r   r   r   a 
              |             y   t   t   t   t   t   t   t   t   e   _   _   _   _   _   _   _   _   _ 
              |                 _   _   _   _   _   _   _   _       7   7   7   7   7   7   7   7   o 
              |                 7   7   7   7   7   7   7   7       _   _   _   _   _   _   _   _   u 
              |                 _   _   _   _   _   _   _   _       0   0   0   0   0   0   0   0   t 
              |                 0   0   0   0   0   0   0   0       _   _   _   _   _   _   _   _     
              |                 _   _   _   _   _   _   _   _       7   6   5   4   3   2   1   0     
              |                 7   6   5   4   3   2   1   0                                         
====================================================================================================================================
          0.0 | 0   1   0   x   0   0   0   0   0   0   0   0   x   x   x   x   x   x   x   x   x   x
          0.0 | 0   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0
      10000.0 | 1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0
      10001.3 | 1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   1   0   0   0
      10001.4 | 1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   1   1   1   0
      20000.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   1   1   1   0
      30000.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0   1   1   1   0
      40000.0 | 0   0   1   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   1   0
      50000.0 | 1   0   1   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   1   0
      60000.0 | 0   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   1   0
      70000.0 | 1   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   1   0
      70002.0 | 1   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   0   0
      80000.0 | 0   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   0   0
      90000.0 | 1   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   0   0
      90001.4 | 1   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   1   1   0
      90002.2 | 1   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   0   1   0
      90003.5 | 1   0   0   0   1   0   1   0   1   1   0   0   1   1   0   0   1   0   1   0   1   1
